author,category,language,editor,edition,totalPages,damagedPages,age,price
Tyler Morales,Technology,Italian,Cambridge,8th,612,29,2,12.45
Kristine Robertson,Fantasy,Italian,Cambridge,2th,72,2,8,68.86
Jessica Turner,Science,Spanish,Pearson,6th,546,30,6,4.7
Anthony Mcclain,Science,English,Cambridge,5th,864,15,6,61.46
Jonathan Ramirez,Philosophy,Italian,Macmillan,3th,860,50,5,19.11
John Pacheco,Fantasy,Italian,HarperCollins,6th,305,6,7,70.52
Carol Williams,Fiction,French,Penguin,10th,998,64,5,41.67
Devin Shaffer,Science,Spanish,Simon & Schuster,3th,956,66,6,0.5
Timothy Francis,Science,Spanish,Penguin,1th,573,36,6,188.76
Kristopher Jones,Philosophy,French,Cambridge,9th,144,3,0,68.57
Rachel Caldwell,Philosophy,Spanish,Oxford,2th,177,10,0,54.32
Eric Allen,Philosophy,English,Macmillan,1th,252,10,8,5.83
Eugene Scott,Philosophy,French,HarperCollins,9th,854,52,1,54.33
Veronica Lozano,Non-Fiction,English,Pearson,7th,875,73,1,27.29
Kara Buckley,History,German,Simon & Schuster,1th,497,39,6,11.86
Jeffrey Harmon,History,English,Oxford,4th,742,74,5,72.2
Kendra Bradley,Non-Fiction,Spanish,HarperCollins,4th,465,9,9,138.23
Michael Olson,Fiction,French,Macmillan,1th,788,74,4,24.33
Troy Byrd,Science,Italian,Pearson,7th,121,9,3,66.9
Jill Davidson,Non-Fiction,Italian,Cambridge,6th,738,0,8,20.63
Philip Mays,Non-Fiction,French,Penguin,3th,73,2,9,29.59
Angela Rice,Fantasy,German,Penguin,1th,512,25,5,85.43
Jason Brown,Biography,Italian,Macmillan,9th,116,11,4,45.16
Melissa Jackson,Non-Fiction,Spanish,Macmillan,5th,303,14,10,35.29
Melanie Henry,Science,German,Springer,10th,455,13,5,82.37
Nancy Rivera,Technology,English,Macmillan,6th,333,26,8,24.63
Steven Green,Fiction,Spanish,Pearson,7th,982,10,10,34.34
Paul Williams,History,Spanish,Cambridge,9th,913,74,5,52.57
Kim Wallace,Science,Italian,Cambridge,7th,965,73,4,29.2
John Buchanan DDS,Non-Fiction,Spanish,Oxford,10th,877,61,2,27.46
Christina Fuller,Fantasy,German,Macmillan,10th,366,5,2,87.24
David Morris,Fiction,French,Macmillan,2th,848,56,10,31.14
Amber Moore DDS,Biography,Spanish,Macmillan,9th,587,29,9,72.71
Samuel Gates,Fiction,French,Oxford,6th,723,30,2,56.22
Randy Harrell,Technology,Italian,Penguin,5th,923,74,6,35.88
Christopher Brown,Fiction,Spanish,HarperCollins,8th,198,15,7,73.04
Angel Lee MD,History,French,Pearson,4th,329,11,10,10.55
Ryan Fisher,Biography,French,Cambridge,10th,392,19,10,7.75
Brandy Pugh,Science,French,HarperCollins,7th,730,55,0,78.44
Melissa Foster,Fiction,English,HarperCollins,5th,451,12,10,11.62
Jesse Peterson,Fantasy,French,Springer,1th,524,37,1,36.91
Jared Ruiz,Non-Fiction,Spanish,Macmillan,8th,930,60,7,25.55
Angela Hill,Fiction,English,Oxford,8th,153,6,0,92.8
Cesar Prince,Science,English,Pearson,10th,916,21,6,11.35
Barbara Dickerson,Fantasy,German,Cambridge,3th,830,26,8,40.48
Randall Boone,Biography,Spanish,Pearson,5th,785,39,5,60.15
David Church,Science,French,HarperCollins,3th,812,13,2,76.67
Jason Cruz,Non-Fiction,French,Pearson,1th,121,12,8,6.26
Brian Patton,Fantasy,French,Oxford,1th,425,22,9,63.84
Dr. Jennifer Gallagher,Biography,Spanish,Pearson,6th,371,5,1,10.64
Eric Alexander,Non-Fiction,Spanish,Simon & Schuster,3th,150,11,9,41.56
Jennifer Cherry,History,German,HarperCollins,3th,449,32,9,17.02
Kimberly Garcia,Fantasy,French,Penguin,7th,772,28,7,45.22
Darren Hughes,Philosophy,Italian,Springer,2th,815,14,5,34.25
Michael Howard,Biography,Italian,Penguin,6th,779,14,6,64.7
Matthew Roth,History,German,Pearson,8th,358,35,10,53.21
Jessica Leonard,Non-Fiction,Spanish,Pearson,5th,683,9,1,72.69
Elizabeth Crawford,Biography,French,Macmillan,10th,411,15,4,14.43
Gabriella Downs,Biography,German,Springer,8th,217,21,10,55.41
Crystal Thomas,History,Italian,Pearson,1th,371,21,3,19.08
Kevin Stewart,Philosophy,English,Simon & Schuster,6th,952,88,4,66.96
Melissa Lane,Fiction,English,Springer,2th,395,7,10,50.23
Caleb Allen,Fantasy,English,HarperCollins,8th,144,1,6,21.91
Luke Sawyer,Non-Fiction,Spanish,HarperCollins,4th,168,5,5,90.45
Roger Wolfe,History,Italian,Simon & Schuster,4th,909,77,4,27.07
Michael Allen,Science,Italian,Penguin,2th,779,7,7,50.13
Brooke Dalton,Non-Fiction,Italian,Macmillan,4th,816,31,8,86.3
Jeffrey Long,Fiction,German,Oxford,4th,914,1,0,87.99
William Patton,Biography,Italian,Springer,8th,596,36,2,67.21
Rebecca Davies,Technology,Spanish,HarperCollins,6th,482,27,5,37.42
Nicholas Crawford,Science,French,Simon & Schuster,8th,376,4,0,56.12
Melissa Lee,Biography,Italian,Penguin,10th,961,23,7,79.19
Lori Young,Science,Spanish,Simon & Schuster,1th,706,14,1,15.31
Andrew Rodgers,Technology,Italian,Simon & Schuster,6th,98,3,7,76.72
Dominique Williams,Science,Spanish,Simon & Schuster,10th,847,45,3,47.75
Martin Taylor,Fantasy,Italian,Pearson,8th,643,49,0,29.78
Sonya Walker,Fiction,English,Pearson,5th,435,4,9,72.98
Justin Johnson,Technology,Spanish,Cambridge,10th,481,8,0,25.46
Scott Stokes,Biography,Spanish,Penguin,4th,292,21,5,73.13
Carolyn Peterson,Technology,French,Penguin,1th,727,33,8,1.4
Kelly Blevins,Philosophy,French,HarperCollins,4th,810,43,1,51.45
Joshua Mcbride,Philosophy,French,Simon & Schuster,5th,578,52,4,0.5
Monique Wright,Biography,French,Penguin,7th,112,11,5,72.3
Alexis Castillo,Fiction,English,HarperCollins,5th,631,56,5,82.96
Amanda Rodriguez,Fiction,German,Macmillan,5th,771,63,3,19.12
Tyler Boyd DDS,Non-Fiction,French,Simon & Schuster,6th,794,11,3,57.57
Tamara Martinez,History,French,Simon & Schuster,6th,262,0,6,0.5
Emily Flores,Non-Fiction,Spanish,Macmillan,2th,288,9,9,52.54
Denise Heath,History,English,Simon & Schuster,6th,774,11,8,43.4
Roy Hartman,Fiction,French,Macmillan,7th,943,59,9,12.31
Peter Anderson,Non-Fiction,Spanish,Simon & Schuster,5th,745,21,5,92.79
Christine Marquez,Non-Fiction,French,HarperCollins,5th,815,42,9,156.23
Nicole Alvarez,Biography,English,Oxford,2th,998,88,3,9.73
Christopher Avery,Science,English,HarperCollins,9th,300,16,6,28.3
James Maldonado,Biography,Spanish,Penguin,8th,91,1,9,14.69
Scott Cole,Science,German,Simon & Schuster,1th,898,74,2,41.65
Danielle Turner,History,German,HarperCollins,2th,72,5,9,52.41
Mark Diaz,Fantasy,Spanish,Macmillan,2th,99,1,7,62.81
Karen Carrillo,Non-Fiction,Italian,Pearson,9th,204,20,1,18.73
Allen Harper,Fantasy,Spanish,Pearson,3th,755,13,6,89.45
Eric Montoya,Science,Spanish,Pearson,7th,588,43,4,45.72
Charles Thompson,Fantasy,English,Springer,8th,781,29,3,16.39
Beth Nunez,Philosophy,German,Pearson,10th,548,33,0,86.98
Peter Williamson,Fiction,Italian,Cambridge,7th,311,30,10,44.94
Diana Velasquez,Non-Fiction,Italian,Simon & Schuster,3th,248,8,7,37.63
Jennifer Bender,Technology,Italian,Penguin,1th,955,47,0,46.99
Mark Ochoa,History,Italian,Cambridge,9th,422,14,4,63.84
Natasha Bennett,Philosophy,Italian,Springer,2th,871,25,4,51.66
Jessica Gilbert,Science,German,Penguin,2th,832,18,4,42.39
Melissa Spencer,Science,French,HarperCollins,10th,842,25,0,70.09
Peter Martin,History,French,Springer,1th,215,1,4,96.12
Connor Bradley,Biography,German,Oxford,3th,469,30,3,80.59
Mark Mills,Philosophy,English,Simon & Schuster,3th,301,8,10,57.07
Bobby Williams,Fiction,German,Oxford,1th,938,34,7,56.12
Terri Villa,Fantasy,Italian,Oxford,10th,454,23,6,63.05
Christina Kelly,Philosophy,German,Oxford,3th,511,16,10,15.33
Stephanie Edwards,Non-Fiction,French,Penguin,1th,505,48,7,23.63
Anthony Martinez,Science,English,Penguin,8th,63,1,6,26.46
Amber Navarro,Non-Fiction,Spanish,Oxford,7th,907,54,4,84.84
Krista James,Non-Fiction,German,Penguin,3th,87,1,3,177.18
David Torres,Science,Spanish,Springer,9th,667,15,0,170.33
Melissa Anderson,Fantasy,Spanish,Springer,5th,605,21,8,27.67
Jamie Rivera,Science,German,Simon & Schuster,10th,946,80,9,42.49
Curtis Reyes,History,Spanish,Simon & Schuster,9th,280,11,9,12.15
Stephanie Harper,Technology,German,HarperCollins,6th,180,17,10,35.64
Leah Alexander,History,Spanish,Springer,2th,188,17,10,26.75
Meghan Arroyo,Non-Fiction,French,Simon & Schuster,9th,738,34,10,48.63
Timothy Martin,Philosophy,French,Springer,3th,315,0,6,13.61
Whitney Mitchell,Fiction,German,Penguin,5th,654,44,5,0.5
April White,Philosophy,German,Cambridge,9th,834,58,2,63.11
Thomas Swanson,Fiction,English,Macmillan,4th,274,5,0,44.73
Heather Cox,Fiction,English,HarperCollins,8th,106,3,6,67.98
Jocelyn Phillips,Science,Italian,Simon & Schuster,1th,298,18,0,78.59
Justin Jones,Fiction,English,Oxford,5th,745,22,10,12.99
Diana Marsh,Fiction,Spanish,Penguin,6th,778,24,3,34.28
Phillip Miller,Technology,English,Pearson,10th,87,8,5,51.04
Laura Ponce,Biography,Italian,Cambridge,2th,140,5,0,52.15
Susan Edwards,History,English,HarperCollins,10th,404,39,8,77.91
Zachary Morrow,History,Italian,Simon & Schuster,7th,873,78,10,76.65
Elizabeth Perez,Philosophy,German,Pearson,4th,487,44,8,63.52
Jeremy Hernandez,History,Italian,Macmillan,8th,80,2,0,77.59
Nancy Fleming,Fiction,Spanish,Springer,4th,648,55,10,24.05
Diane Oneill,Science,Spanish,Cambridge,6th,178,6,7,52.88
Jake Jones,Non-Fiction,Spanish,Simon & Schuster,7th,954,61,3,70.25
Sarah Cuevas,Fantasy,German,Springer,7th,613,20,6,41.66
Lisa Wang,Science,English,Pearson,8th,746,55,0,88.55
Jennifer Turner,Science,Spanish,Pearson,10th,168,12,0,29.18
Dana Vaughn,Biography,French,Cambridge,1th,144,3,10,15.41
Christopher Gamble,Technology,Italian,Springer,1th,855,72,3,0.5
Kimberly Wilson,Science,German,Penguin,8th,774,47,2,71.68
Jill Figueroa,History,Spanish,Springer,7th,399,18,7,45.78
Christine Schultz,Technology,French,Cambridge,7th,408,33,8,77.2
Mary Bishop,Biography,French,Oxford,7th,778,70,1,25.17
Jenna Williams,Non-Fiction,Spanish,Macmillan,8th,487,0,4,60.05
Sally Patterson,Biography,Spanish,Cambridge,8th,613,33,2,19.92
Spencer Gates,Technology,Spanish,Pearson,5th,467,30,3,35.12
Ashley Lambert,Fantasy,Italian,HarperCollins,2th,442,44,5,76.45
Michael Sharp,Fantasy,French,Macmillan,8th,744,47,1,168.82
John Olson,Technology,German,Penguin,10th,830,68,8,183.98
Jermaine Bailey,Biography,German,Penguin,1th,818,10,5,13.63
Kaylee Wolfe,Non-Fiction,French,Cambridge,1th,879,75,2,66.99
April Rogers,Science,Italian,HarperCollins,5th,846,3,10,17.24
Laura Nelson,Science,Spanish,Cambridge,10th,962,5,2,16.82
Manuel Downs,Biography,Spanish,Cambridge,5th,332,33,0,92.07
Jonathan White DDS,Biography,French,HarperCollins,8th,410,39,10,50.62
Mark Huang,Science,Spanish,Simon & Schuster,6th,840,62,3,0.5
Michael Davidson,Fantasy,French,Cambridge,3th,553,16,2,48.96
Mark Nguyen,Non-Fiction,English,HarperCollins,1th,376,12,10,72.66
Michael Escobar,Fiction,French,Springer,3th,728,0,4,88.49
Kathryn Holmes,Fiction,Spanish,Springer,9th,869,74,5,79.84
Mr. Lucas Smith PhD,History,Italian,Springer,8th,668,16,9,33.44
Tyler Lopez,History,English,Pearson,7th,153,14,2,14.85
Todd Valdez,Science,Italian,Springer,5th,270,17,8,61.83
Juan Harper,Philosophy,French,Penguin,4th,579,0,0,63.9
John Gates,Fiction,Spanish,Macmillan,2th,772,53,9,51.76
Andrea Underwood,History,Italian,Penguin,3th,193,17,8,10.37
Whitney Adams,Fantasy,Italian,HarperCollins,8th,599,35,6,88.76
Dustin Jackson,Philosophy,Spanish,Macmillan,4th,236,14,7,84.74
Jennifer Bowen,Science,French,Simon & Schuster,8th,416,40,1,76.31
Tiffany Allison,Fiction,English,Penguin,8th,829,34,1,21.54
Jennifer Murphy,Philosophy,English,Springer,7th,838,4,3,46.71
Tanya Whitaker,Philosophy,English,Macmillan,2th,898,87,3,65.69
Devin English Jr.,Philosophy,English,Cambridge,4th,332,19,5,88.35
Kara Flowers,Fantasy,English,Simon & Schuster,6th,430,33,9,4.23
Frank Stout,Technology,French,Springer,4th,395,22,4,70.01
Theresa Kelley,Biography,Spanish,Cambridge,4th,739,73,2,9.64
Leah Giles,History,Italian,Simon & Schuster,3th,420,7,7,72.76
Trevor Brooks,Fiction,Italian,Cambridge,7th,635,18,0,71.92
Daniel Gray,Biography,French,Simon & Schuster,7th,103,0,9,10.96
Alexa Mccall,History,Italian,Cambridge,5th,851,36,10,0.5
Brian Diaz,Technology,Italian,Cambridge,7th,74,5,0,69.82
Jason Dominguez,Fiction,Spanish,Cambridge,3th,551,11,7,23.64
Luis Short,Biography,French,Springer,9th,694,9,3,28.96
David Carpenter,Non-Fiction,English,Springer,10th,141,8,6,30.12
Taylor Osborne,Fantasy,Spanish,Macmillan,8th,572,16,6,14.08
John Hicks,Fantasy,French,Simon & Schuster,10th,310,4,2,60.99
Danny Moore,Science,English,HarperCollins,4th,551,33,4,56.94
Mary Underwood,History,Italian,Pearson,3th,472,24,6,67.97
Ronald Allen MD,Philosophy,French,HarperCollins,3th,910,38,5,70.37
Stephanie Flores,Fiction,Italian,Simon & Schuster,5th,738,51,10,39.48
Emily Vasquez,Fantasy,English,Oxford,10th,884,6,7,53.72
Danielle Dunlap,Technology,German,Cambridge,2th,90,4,5,81.64
Summer Franklin,Science,English,Penguin,8th,366,23,8,7.28
Joshua Williams,History,Spanish,Penguin,7th,233,3,10,69.85
Joseph Lewis,Technology,English,Cambridge,6th,152,13,2,83.51
Yvette Ellis,History,Spanish,Pearson,1th,127,7,10,34.34
Erik Anderson,Fantasy,French,HarperCollins,10th,885,18,7,11.06
Christine Stephens,History,French,HarperCollins,1th,140,0,10,14.52
Sara Lopez,History,English,HarperCollins,1th,108,10,3,41.17
Jennifer Padilla,Fiction,German,Pearson,2th,523,2,0,92.03
John Webb,Philosophy,German,Macmillan,4th,992,58,0,44.7
Karen Koch,History,Italian,Oxford,7th,187,18,8,72.31
Brittney Lawson,Fantasy,Spanish,HarperCollins,5th,567,6,3,64.27
David Hubbard,Fiction,German,HarperCollins,9th,215,0,8,79.69
Martha Gillespie MD,Science,French,Macmillan,9th,466,38,10,24.93
Andrew Shannon,History,Italian,Oxford,10th,798,44,9,14.89
Kelly Cox,Biography,Italian,Cambridge,5th,336,25,10,70.88
David Black,History,German,Cambridge,10th,913,23,6,46.24
Katie Santos,Fiction,German,Pearson,8th,594,21,10,29.24
Margaret Sparks,Fiction,Spanish,Macmillan,8th,799,6,1,82.88
Felicia Hanson,Fantasy,Italian,Oxford,6th,847,57,7,32.58
Jessica Nguyen,Science,French,Cambridge,4th,66,3,0,45.77
Alexandria Rose,Fiction,Spanish,Simon & Schuster,8th,620,39,10,26.32
Christine Perry,Non-Fiction,Spanish,HarperCollins,10th,671,58,8,40.11
Andrew Lynn,Technology,English,HarperCollins,2th,113,7,1,52.09
Dr. Stephen Pearson,Fiction,Spanish,Springer,6th,757,18,3,0.5
James Mills,Biography,German,Pearson,7th,488,27,3,86.06
Jonathan Gibson,Biography,French,Simon & Schuster,7th,106,10,9,84.9
Scott Pope,Non-Fiction,French,Cambridge,8th,627,46,2,72.5
Kristen Galvan,Science,French,Springer,5th,876,21,2,60.2
Robert Nguyen,Technology,French,Penguin,6th,342,33,7,36.2
Brandi Medina,Technology,German,Oxford,2th,839,74,6,0.5
Jay Cohen,Fantasy,English,Oxford,7th,169,1,1,38.81
Mary Vaughan,Science,German,Simon & Schuster,3th,552,40,10,78.64
Jerry Robbins,Biography,Italian,Oxford,2th,715,68,4,36.27
David Johnson,History,French,HarperCollins,9th,932,38,2,79.6
Sean Jackson,Non-Fiction,German,Pearson,4th,528,16,4,53.33
Kristen Romero,Non-Fiction,German,Penguin,5th,348,2,10,41.05
Charles Hernandez,Non-Fiction,French,Springer,6th,401,6,0,80.61
Mr. Richard Bridges Jr.,Fantasy,English,Cambridge,8th,329,2,8,73.19
Brenda Smith,Biography,Spanish,Oxford,5th,522,7,6,192.28
Emily Miller,Philosophy,Spanish,Pearson,10th,717,25,6,7.4
Elizabeth Rivera,Biography,German,Penguin,4th,66,6,10,38.01
Susan Bell,Fantasy,German,Oxford,2th,563,56,8,0.5
Christopher Morris,Science,English,Macmillan,6th,831,36,2,75.7
Joshua Blanchard,Fiction,Spanish,Penguin,9th,456,24,0,43.15
Teresa Ochoa,Philosophy,Spanish,Oxford,6th,959,92,5,39.14
Ralph Moore,Biography,German,Simon & Schuster,8th,809,5,9,15.03
Evelyn Baker,Non-Fiction,German,Springer,7th,839,26,7,46.69
Kimberly Decker,Science,German,Simon & Schuster,10th,827,65,9,4.4
Mr. Daniel Wilkerson DDS,Technology,French,Springer,3th,362,23,10,0.5
Steven Miller,Philosophy,English,HarperCollins,1th,965,37,2,86.5
Andrew Mills,Fiction,Italian,Penguin,6th,325,23,1,31.68
Zachary Jones,History,Spanish,Oxford,5th,179,2,3,86.14
Christina Mckee,History,Spanish,Springer,9th,760,9,10,7.51
Carrie Morgan,Non-Fiction,French,Simon & Schuster,6th,87,6,4,78.98
Theresa Weeks,Fiction,French,Springer,4th,80,8,3,91.65
Antonio Nunez,Fantasy,French,Pearson,1th,489,32,2,80.78
Rhonda Jackson,Fiction,Italian,Pearson,2th,283,24,10,66.34
Sarah Bailey,Fiction,Spanish,Macmillan,3th,178,1,1,82.1
Jennifer Moore,Science,French,Simon & Schuster,2th,278,24,4,89.57
Carlos Garcia,Non-Fiction,French,Cambridge,10th,384,10,5,22.98
Catherine Barton,Philosophy,Spanish,Oxford,7th,462,19,5,5.61
Steven Shepherd,Philosophy,Spanish,Penguin,4th,657,60,4,0.5
Maria Ayala,Technology,French,Cambridge,9th,896,59,9,31.44
Daniel Montgomery,Technology,German,Simon & Schuster,5th,971,34,3,40.89
Audrey Butler,Science,Italian,Macmillan,1th,238,4,3,24.72
Rodney Henry,Biography,Italian,Pearson,7th,457,22,1,24.56
Jason Lucas,Non-Fiction,Italian,Penguin,7th,945,89,0,51.82
Michael Wilson,Fantasy,French,Pearson,5th,991,94,9,36.99
Brandy Wade,Non-Fiction,French,Pearson,1th,517,13,1,45.32
David Smith,Fiction,German,Macmillan,2th,866,19,3,25.4
Allen Erickson,Science,French,HarperCollins,4th,486,26,5,74.22
Katherine Rios,Technology,Italian,Cambridge,8th,597,46,4,20.0
Brian Clark,Biography,French,HarperCollins,5th,940,82,0,53.81
Sara Brooks,Technology,French,Cambridge,2th,770,2,5,14.91
Keith Miller,Philosophy,Italian,Cambridge,2th,518,25,6,46.25
Andre Golden,Fantasy,German,Simon & Schuster,10th,756,17,3,16.16
Peter Ellis,History,Spanish,Simon & Schuster,3th,897,18,6,53.57
Jennifer Turner,Science,English,Penguin,9th,207,17,2,45.23
Dustin Ferrell,Biography,German,Pearson,8th,155,5,7,71.54
Robert Graves,Biography,English,Oxford,6th,424,24,9,27.11
Justin Carson,Fantasy,Spanish,Springer,3th,193,12,8,41.67
Annette Hanson,Science,Spanish,Oxford,2th,966,73,10,9.49
Carol Gilbert,Technology,French,Penguin,5th,955,2,3,62.63
Kelly Hess,Fantasy,German,Springer,7th,847,48,9,49.41
Melissa Alexander,History,German,Cambridge,4th,927,31,7,47.59
Carla Ryan,Biography,Spanish,Pearson,1th,120,0,2,71.46
Jennifer Jones,Biography,German,HarperCollins,2th,240,6,10,73.06
Brian Taylor,Technology,English,Pearson,2th,989,31,8,121.56
Jessica Spencer,Non-Fiction,Spanish,Oxford,6th,832,9,2,52.72
Kevin Brewer,History,Italian,Pearson,10th,693,39,4,47.85
April Roach,Technology,Spanish,Springer,8th,917,31,6,89.0
Tina Harmon,History,Italian,Penguin,7th,348,7,5,48.46
Mary Sosa,History,Spanish,Cambridge,2th,148,0,2,80.8
Micheal Graves,Non-Fiction,Spanish,HarperCollins,8th,487,28,1,103.24
Terri Zhang,Fiction,German,Oxford,4th,752,9,10,41.6
Tamara Holloway,Science,German,HarperCollins,1th,235,15,5,85.69
Rebekah Moore,Fiction,Spanish,Cambridge,6th,237,22,5,5.5
Tiffany Flores,History,Italian,HarperCollins,5th,488,41,4,84.31
Olivia Edwards,Biography,French,Pearson,2th,654,59,7,0.5
Jeffrey Cox,Philosophy,Italian,Macmillan,8th,341,28,0,48.41
Michael Wilson,Technology,German,Penguin,4th,308,0,9,69.85
Daniel Nelson,Philosophy,Italian,Cambridge,7th,441,3,1,66.78
Tracey Cruz,Fiction,German,Simon & Schuster,4th,923,27,3,53.07
Daniel White,Technology,Italian,Springer,7th,406,23,10,15.35
Laurie Romero,Biography,English,Pearson,6th,811,12,9,80.54
Richard Ramirez,Fiction,Italian,Simon & Schuster,2th,864,44,8,10.37
Mark Aguilar,Non-Fiction,French,Oxford,9th,995,83,6,29.63
Jeremiah Lewis,History,Italian,Penguin,8th,468,3,0,81.39
David Hopkins,Philosophy,Italian,Macmillan,5th,379,35,10,75.79
Elizabeth Vasquez,Philosophy,German,Oxford,7th,652,58,2,8.68
Brianna Owens,Technology,Spanish,Cambridge,6th,803,66,2,42.57
Diana Munoz,Fantasy,German,HarperCollins,10th,820,25,8,24.68
Dr. Sarah Brown,Non-Fiction,French,HarperCollins,10th,902,30,1,62.69
Tom Jones,Technology,Italian,Cambridge,1th,468,10,3,58.42
Dr. Jose Adams,Biography,French,Pearson,4th,411,22,1,35.97
Jackson Richards,Philosophy,English,Simon & Schuster,4th,787,9,8,6.41
Kristin Oliver,Non-Fiction,French,Pearson,1th,184,8,5,20.26
Ethan Garrett,Fiction,French,Pearson,9th,275,27,9,15.86
Brandon Mendoza,Fiction,Italian,Oxford,7th,436,32,2,69.57
Tara Thomas,Fiction,French,Macmillan,1th,592,31,7,2.18
Michael Kirk,Fantasy,Italian,Cambridge,7th,519,16,2,11.5
Tyler Robbins,Fiction,Italian,Penguin,1th,463,1,7,70.35
Casey Walsh,Biography,English,Penguin,2th,534,11,6,60.95
Courtney Cochran,Technology,English,Oxford,8th,504,25,2,45.44
Holly Conway,Science,Italian,Springer,10th,485,40,3,67.89
Jennifer Carter,Fantasy,Spanish,Penguin,8th,212,1,8,63.48
David Martinez,Fantasy,German,Oxford,8th,146,0,9,21.05
Laura Hayes,Philosophy,Spanish,Cambridge,2th,315,15,2,87.88
Mindy Ochoa,Science,English,Cambridge,6th,553,6,5,49.41
Tracy Cohen,Philosophy,English,Penguin,6th,298,4,4,159.93
Sherry Garner,Fantasy,Italian,Cambridge,5th,544,43,7,40.34
Thomas Peters,Fiction,German,Simon & Schuster,5th,911,20,6,91.46
Tiffany Alvarado,Non-Fiction,French,HarperCollins,7th,452,19,9,44.19
Michele Brooks,Fantasy,English,Oxford,4th,124,10,6,55.74
Charles Miller,Technology,English,Cambridge,9th,736,36,1,44.63
Anthony Cole,History,German,Simon & Schuster,8th,125,0,4,96.38
Patrick Larson,Philosophy,Spanish,Pearson,7th,417,24,1,72.8
James Hernandez,Fantasy,English,Simon & Schuster,4th,573,26,7,5.19
Melanie Young,Non-Fiction,French,Penguin,2th,868,20,5,33.56
William Baird,Biography,German,Oxford,10th,292,29,6,25.19
Heather Rodgers,Non-Fiction,English,Springer,3th,986,63,7,73.0
Erik Tucker,Fiction,French,Simon & Schuster,1th,780,68,10,13.16
Michael Blake,Technology,French,Cambridge,6th,961,52,3,22.1
Michelle Bryant,Fiction,French,Cambridge,6th,694,11,3,31.83
Bobby May,Philosophy,French,Springer,2th,140,6,4,44.14
Cole Brooks,History,French,Penguin,9th,982,3,6,14.29
Tammy Boone,Science,English,Penguin,9th,246,1,8,71.57
Joshua Graham,Fantasy,Italian,Springer,5th,791,66,5,61.8
Nicole Torres,Philosophy,Spanish,Springer,10th,958,73,5,42.96
Bruce Long,Technology,French,Cambridge,4th,981,94,0,0.5
Terry Watson,Philosophy,Spanish,Simon & Schuster,6th,271,12,9,31.55
Sandra Harvey,Fiction,Italian,Oxford,8th,753,11,0,65.66
Matthew Carter,Non-Fiction,Spanish,HarperCollins,1th,79,7,0,72.36
Mr. Mark Moses,Fiction,Spanish,HarperCollins,2th,644,47,0,12.31
Lance Rodriguez,Biography,French,Simon & Schuster,2th,727,60,9,0.5
Melissa Harding,Non-Fiction,Italian,Macmillan,7th,634,2,10,19.6
Randy Bolton,Biography,Spanish,Cambridge,1th,309,3,1,74.66
Laura Hood,Technology,Spanish,Pearson,2th,141,12,0,89.59
Carla Waller,Non-Fiction,German,Pearson,6th,843,3,8,89.79
Nicholas Hernandez,Philosophy,Italian,Pearson,2th,158,6,10,52.36
Jillian Curtis,Fiction,Italian,Pearson,9th,360,26,10,52.68
Heidi Green,Fantasy,German,Oxford,7th,763,23,7,51.11
Mr. Steve Williams,Philosophy,French,Macmillan,3th,492,41,3,14.17
David Moore,Non-Fiction,French,Cambridge,9th,751,62,7,20.32
Angela Sanders,History,Italian,Macmillan,2th,680,3,3,61.54
James Oconnell,Non-Fiction,Spanish,Springer,8th,63,6,9,7.9
Danielle Hayes,Fiction,Italian,Oxford,10th,589,46,9,87.13
Kimberly Duncan,Fiction,Spanish,Penguin,8th,472,39,4,1.31
Michael Alvarez,Philosophy,Italian,Springer,6th,133,4,5,32.21
Thomas Williams,Science,German,HarperCollins,6th,616,8,4,96.34
Austin Gomez,Science,German,Cambridge,10th,372,26,10,72.39
Michael Simon,Philosophy,French,Macmillan,3th,296,18,1,55.2
Donald Johnson,Biography,Italian,Cambridge,6th,238,0,9,72.03
Ethan Lucas,Fantasy,Italian,Simon & Schuster,1th,516,36,0,59.38
Robert Lester,Non-Fiction,Italian,Springer,4th,112,10,4,32.6
Jerry Humphrey,Fiction,Spanish,Oxford,8th,949,92,3,39.06
Dr. Ronald Lewis,Science,English,Penguin,1th,876,72,7,49.82
Paula Castillo,Non-Fiction,German,HarperCollins,3th,366,19,2,16.78
Patricia Collins,Non-Fiction,German,Oxford,6th,456,31,10,160.51
Sydney Smith,Biography,Italian,Cambridge,1th,876,28,6,111.14
Kristen Todd,Fiction,English,Pearson,10th,977,40,10,14.52
David Moore,Biography,Spanish,Macmillan,8th,282,15,6,27.77
Daniel Jones,Technology,Italian,Penguin,8th,401,18,7,81.3
Brian Wilson,Technology,German,Cambridge,10th,243,1,3,18.82
Wesley Hines,Fiction,Spanish,Pearson,10th,195,0,9,46.01
Jeremiah Woodard,Biography,Italian,Pearson,7th,791,28,2,26.4
Patrick Stone,Non-Fiction,Italian,Oxford,5th,988,41,9,33.14
Gary Edwards,Non-Fiction,Italian,Pearson,4th,217,0,5,15.09
Dr. Johnathan Gonzales,Technology,German,Penguin,3th,181,11,3,76.26
Sharon Lyons,Technology,English,Pearson,3th,986,59,1,89.89
Jeremy Briggs,Technology,Spanish,Cambridge,8th,695,36,4,71.83
Shannon Diaz,Technology,German,Pearson,4th,409,24,1,78.75
Hannah Porter,Fantasy,Spanish,Oxford,2th,506,17,2,52.69
Eric Anderson,Fiction,English,Oxford,3th,998,75,4,62.34
